Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	Avrg_Cosine
Halle	24	5.58	2.24	17	1.47	1.97	23	8.39	2.29	5	3	350037	Bau	689	1551.4241191108	Mitte	794	1474.16243075109	Verfügung	745	1163.50018881859	Dach	392	855.374856823548	Platz	847	823.080128901906	Meter	530	762.657788784771	Gang	370	697.923950067484	Saal	261	673.592019521021	Erdgeschoss	198	660.892813073697	Nutzung	384	594.207587689743	0.9360421349831107
Laufbahn	24	5.29	2.01	24	2.88	2.33	16	6.13	2.80	8	1	66890	Beginn	721	2343.88625129984	Anfang	447	1006.13636704376	Station	163	478.93876047671	Amt	165	414.836167075196	Stadion	101	310.177715560222	Schriftsteller	84	252.816783730154	Musiker	90	215.682353038402	Abschluss	96	180.583583767186	Lehrer	96	167.261259729526	Journalist	66	141.804643028732	0.9394706078911683
Gefangenschaft	29	1.55	2.43	21	6.67	2.48	21	6.33	2.87	14	2	45229	Tier	727	2343.65016782463	Krieg	551	1859.49025764812	Jahr	1168	1475.67374554795	Vogel	172	586.129728790071	Leben	356	552.490677254393	Soldat	160	474.02709327142	Zeit	425	376.700824715645	Haltung	115	334.857536613189	Tod	140	274.768348459131	Freiheit	108	250.098879750863	0.9333405486285479
Herrschaft	20	2.65	1.79	25	6.52	2.58	19	5.26	2.81	10	2	209917	Macht	2090	8137.51955310583	Gott	2306	5860.61750405476	Volk	1209	3680.94967055852	Form	1164	2142.19509227631	Ausbeutung	461	2129.32454345783	Recht	920	2110.81560090115	König	671	1870.18957478158	Gewalt	656	1714.74156917926	Burg	478	1669.56436519547	Ausübung	301	1202.3866204973	0.9467448177601346
Leuchte	24	6.33	2.35	24	2.08	2.34	25	7.36	1.87	7	3	23163	Fuß	401	1629.11883225116	Wand	259	1075.55639398025	Lampe	120	560.249509945756	Leuchte	58	344.273474306018	Tisch	101	316.794864785941	Licht	96	241.553525135489	Schalter	21	65.7929988292824	Kabel	25	57.462860003124	Scheinwerfer	14	49.3328013327685	Form	50	46.426127991912	0.9630800558507989
Handel	38	5.53	1.77	25	3.24	2.57	24	5.46	2.64	6	1	428076	Industrie	13367	74902.4718522682	Handwerk	7013	39872.7670196691	Gewerbe	6331	39306.0147866633	Dienstleistung	4931	22612.9014889836	Wirtschaft	2483	7799.07032370457	Verkehr	1838	6666.59288032269	Wandel	1622	6407.81930557498	Bereich	2557	4589.25021480025	Produktion	1416	4087.1552161575	Hersteller	1363	3499.65687080429	0.9488218397133906
Schnee	31	5.90	2.81	21	3.19	2.96	19	9.53	0.96	6	3	324393	Eis	21602	145213.103589221	Winter	3589	14503.5356266043	Frost	2012	11612.9212137602	Schnee	1526	5896.66854304128	Wind	1544	5241.91002294543	Zentimeter	1079	4636.69995656949	Meter	1558	4043.53525431035	Sonne	1254	3562.67374504382	Sturm	881	3253.87424335182	Nässe	485	2451.25128244715	0.9083875925792357
Garderobe	29	5.55	2.37	27	1.93	1.92	12	7.67	3.23	9	3	29976	Maske	101	458.741199370013	Küche	104	324.575001407232	Kasse	80	284.192383823505	Schrank	65	265.780956134867	Aufbewahrung	48	252.674657930753	Spiegel	66	228.017430881698	Mantel	52	223.034599578513	Jacke	48	188.582614864874	Kleiderschrank	36	180.776492887988	Regal	46	173.122747111796	0.8629956999893196
Lager	36	4.31	1.94	26	1.85	2.33	13	6.92	2.53	5	3	385566	Trick	963	3552.51530483211	Ware	757	1998.69274399063	Spruch	641	1966.6336334666	Büro	721	1960.18832211032	Befreiung	512	1810.01012272994	Flüchtling	499	1492.00058697607	Gefängnis	430	1306.35001304335	Lager	512	1265.3442874374	Werkstatt	420	1209.99585237837	Artikel	744	1047.8268224544	0.9162701856567137
Expedition	22	7.23	2.18	24	5.08	2.80	22	5.55	2.56	10	4	55665	Teilnehmer	279	762.913184112881	Leiter	214	724.401061310394	Ziel	329	709.507538239057	Mitglied	266	539.862924803398	Zukunft	242	479.184173486275	Ausgangspunkt	117	442.543385375942	Erforschung	101	432.315602441255	Verlauf	105	294.059254099273	Leitung	112	257.218393680967	Rahmen	148	243.106818436062	0.8649118460578114
Name	15	7.07	1.53	26	2.23	2.37	25	7.48	2.60	4	3	2869816	Adresse	14565	52909.1015585003	Ehre	9344	39784.6023540039	Gott	15840	30999.9059408548	Vorname	6037	28693.6538640074	Rang	6734	22620.6719632277	Programm	9243	16355.6752941102	Vater	7053	13192.2315360431	Produkt	7130	11433.3822397223	Herr	8680	11384.6844302956	Volk	4539	8424.89545699341	0.8473186157205781
Kanne	19	5.79	2.23	31	1.42	2.32	19	8.79	2.44	5	3	23455	Kaffee	1221	7248.20807923524	Tee	1050	6729.31402110352	Tasse	241	1356.58338149755	Wasser	399	1244.57859545303	Bier	201	849.201750926482	Milch	132	569.246944727665	Becher	89	476.552825230997	Topf	93	397.562485376793	Wein	114	389.879860370645	Eimer	73	362.687336065718	0.894475942633185
Abschaffung	22	4.36	2.52	27	3.07	2.62	28	4.82	3.51	11	1	92132	Forderung	1114	4788.21733471235	Jagd	716	3693.80190561301	Initiative	555	2059.6243888548	Gesetz	640	1978.62080694472	Kapitalismus	415	1978.27261522529	Demokratie	395	1413.9038888353	Grundrecht	288	1315.88547757714	Armee	267	923.927987292793	Sanktion	203	908.72081200781	Staat	344	744.207603473522	0.9668698745146023
Wesen	20	6.45	2.04	19	3.63	2.75	18	3.89	2.61	5	1	458040	Mensch	7270	13215.8073225924	Gott	4467	11046.3255437823	Ding	2706	6192.75397403696	Licht	1446	3272.0861721828	Welt	1959	2692.08634759652	Liebe	1190	2309.74085559803	Geist	962	2123.65826605437	Charakter	888	2034.41518273739	Natur	1024	2009.79089243081	Hund	1230	1982.09576545075	0.945570656475765
