Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	Avrg_Cosine
Diebstahl	24	2.17	1.71	25	6.12	2.37	25	5.88	2.85	9	2	85286	0.18510344755415759
Zweig	22	5.59	1.50	22	1.86	2.36	15	9.07	2.31	5	3	91251	0.04576659169553199
Sack	35	3.97	1.56	19	3.32	3.13	25	8.16	2.46	4	3	146913	0.06626020207855458
Objekt	27	4.59	1.37	23	2.35	2.48	25	4.96	3.18	6	1	572211	0.18955007660820197
Niete	19	1.95	1.78	20	3.60	2.14	18	5.78	2.76	5	2	1	0.0
Spekulation	24	3.75	1.42	18	5.72	2.59	19	4.26	3.23	11	2	114795	0.11369482895224285
Stand	22	4.77	1.23	14	1.36	1.55	17	4.53	3.00	5	1	680496	0.06271462263480121
Schraube	30	4.93	1.87	18	1.00	1.53	23	8.13	3.40	8	3	58133	0.1355354059813807
Philosophie	24	6.88	1.78	22	3.77	2.69	27	4.07	2.80	11	1	285389	0.16640157974400188
Sprung	17	6.12	2.03	20	4.80	2.98	19	6.21	3.03	6	4	216389	0.17431353442350375
Ermittlung	32	4.03	1.75	27	4.93	2.89	23	4.30	2.93	10	2	212149	0.2838371828838332
Unwirklichkeit	34	4.35	2.55	20	4.50	3.15	26	3.00	2.88	14	1	1254	0.18351867205687367
Sekt	26	5.62	2.25	26	4.15	3.12	17	9.71	0.69	4	3	49619	0.18910520340032694
Phantasie	23	8.13	2.51	24	7.33	2.01	19	6.21	3.15	9	4	136429	0.25005886374282016
Stahl	35	4.60	2.08	21	3.57	2.62	22	7.36	2.74	5	3	120471	0.1466264465328451
Naturell	23	6.74	1.89	20	2.95	2.54	22	3.91	2.29	8	1	6072	0.3990185542446064
Gabe	29	7.41	1.92	18	3.56	2.94	21	3.90	2.47	4	4	122212	0.37125602218920994
Stelle	16	5.19	1.83	17	2.35	1.77	14	3.93	2.30	6	1	1591766	0.23481787379722546
Projektion	26	5.19	1.58	27	2.67	2.54	17	4.47	2.43	10	1	38884	0.25782378746051465
Klempner	36	4.72	1.99	24	1.88	2.17	20	9.10	2.02	8	3	6305	0.1497364393096303
Verschmutzung	26	1.85	1.59	24	3.33	3.12	23	7.17	2.77	13	2	36046	0.16960440032548055
Samen	23	6.13	2.12	24	4.75	3.31	22	7.95	1.50	5	4	1	0.0
Rendite	29	4.45	2.53	15	3.60	2.80	30	4.10	3.50	7	1	91820	0.13617052060422857
Abteilung	20	4.90	2.02	31	2.71	2.56	14	5.86	2.88	9	1	358699	0.3804641236357412
Medikament	33	4.48	1.77	24	4.08	2.84	24	8.08	2.52	10	3	430354	0.20149526940660065
Überblick	29	7.76	1.75	22	3.64	2.84	27	5.00	2.83	9	4	381898	0.13739797379764374
Arbeitszeit	33	4.61	1.89	22	3.50	2.48	28	5.50	3.20	11	1	165158	0.11188342943367213
Methode	28	5.50	2.19	28	2.79	2.27	22	4.18	3.30	7	1	915472	0.19952016736533026
Ruf	34	5.44	1.62	16	4.06	3.30	25	4.96	2.72	3	1	299796	0.513465531118922
Kind	31	7.52	2.31	36	5.42	3.24	26	9.08	1.52	4	4	7274291	0.33536262954331225
Status	23	4.96	2.01	23	3.35	2.50	28	3.86	3.01	6	1	199475	0.13431518163777523
Markt	26	6.08	2.08	20	3.50	2.16	18	7.94	1.86	5	3	1406412	0.14175838695382637
Koma	27	1.11	1.67	34	5.09	3.21	25	6.76	2.47	4	2	31713	0.28901064494321904
Standpunkt	33	6.12	1.95	24	5.08	2.65	15	4.33	2.66	10	4	149655	0.1320197863325025
Logik	28	6.86	2.56	28	3.00	2.68	24	4.50	2.99	5	1	162697	0.19537072888640736
Eroberung	27	5.07	2.56	20	4.90	2.95	36	5.94	2.74	9	4	48288	0.29229693386064504
Gold	34	6.59	2.23	22	4.82	2.92	17	9.24	1.20	4	3	378280	0.17413317347658946
Obacht	24	4.96	2.18	26	4.15	2.80	23	3.96	3.07	6	1	4627	0.34528650282951434
Zange	22	4.00	1.66	29	3.21	2.91	12	7.75	3.89	5	3	24060	0.04744171885331355
Pilz	21	4.67	2.58	26	2.38	1.79	26	7.96	3.22	4	3	136676	0.09307056045828213
Verpflichtung	28	4.46	2.17	19	4.42	3.24	22	4.45	3.10	13	1	275895	0.16204607811623023
Transfer	13	4.92	1.71	27	2.52	2.67	24	5.00	2.69	8	1	128749	0.0748612429870783
Fass	29	5.83	1.95	18	2.06	2.58	25	8.40	2.83	4	3	77388	0.42169036802832915
Physik	37	4.51	2.55	35	2.03	2.57	24	4.79	2.98	6	1	175467	0.07940188709748323
Wendung	26	5.54	1.98	31	4.16	2.67	16	3.81	2.48	7	1	64984	0.08502117682077251
Umarmung	36	8.19	2.16	18	6.72	2.24	25	7.96	2.89	8	4	26359	0.03828260884397287
Sendung	34	5.97	1.57	22	2.68	2.08	16	6.94	2.08	7	3	399011	0.16763076407143138
Diener	24	3.71	2.46	32	2.88	2.51	28	8.39	2.08	6	3	76964	0.516279224049186
Koffer	18	6.44	2.15	17	2.94	2.77	25	9.52	1.05	6	3	128868	0.1600878602437558
Stoß	23	3.65	1.97	26	4.92	2.65	20	6.35	2.25	4	2	35469	0.11135663079504857
Unheil	23	1.17	1.37	16	7.75	2.79	14	4.71	3.43	6	2	35333	0.15710808519767516
Klee	21	7.10	1.95	20	3.35	2.50	12	9.50	0.67	4	3	8000	0.14533984685640108
Kanu	30	5.87	2.10	29	2.38	2.37	27	9.07	1.44	4	3	24000	0.23172321523465747
Flexibilität	30	6.30	2.28	24	4.25	2.35	16	6.25	2.72	12	4	135930	0.1689735343473229
Quittung	26	4.38	1.44	31	2.23	2.35	21	7.48	2.98	8	3	29361	0.053498647027026516
Erteilung	16	4.13	2.09	33	2.88	2.63	25	2.84	2.56	9	1	54896	0.1816396911242339
Zahlung	31	4.65	2.11	21	4.95	2.80	35	6.14	2.57	7	2	275442	0.09432912762120413
Bombe	26	1.19	1.52	27	7.81	2.65	22	8.18	1.84	5	2	63357	0.2942232414759053
Disziplin	28	5.25	2.73	21	3.52	3.08	25	4.72	3.26	9	1	209079	0.14095536144920073
Gerät	28	5.21	1.57	36	1.81	2.03	15	6.27	3.20	5	1	1310490	0.16665252379763612
Gefäß	24	5.54	1.82	14	2.07	2.70	11	8.64	2.66	5	3	86340	0.3043502436388399
Bogen	29	5.38	1.45	20	3.35	2.30	22	7.27	2.80	5	3	193872	0.11382130627330292
Berg	31	6.19	2.55	19	2.68	2.71	24	9.17	1.20	4	3	519644	0.19589353862783165
Krieg	33	0.97	2.57	18	8.28	1.93	20	7.15	3.08	5	2	1152063	0.21704315148199785
